author,text,published_at
@MaherArd,"NEVER GONNA GIVE YOU UP, NEVER GONNA LET YOU DOWN, NEVER GONNA RUN AROUND AND DESERT YOU, NEVER GONNA MAKE YOU CRY, NEVER GONNA SAY GOODBYE NEVER GONNA TELL A LIE AND HURT YOU",2025-05-24T15:36:42Z
@katiarodrigues6435,"Ok,and after pyramixed phases 1 and 2,can you make Wenda treatment ranking?",2025-05-24T15:32:27Z
@Chris_Topher-c6k,Who remembers the time that rickrolling people was a trend 😂😂😂,2025-05-24T15:31:25Z
@Luccaye,Bistecone??????,2025-05-24T15:18:06Z
@kuzeyrl,well i deserved that,2025-05-24T15:17:38Z
@ZacharyNICHOLLS-p9v,I rick rolled my mum,2025-05-24T15:02:31Z
@DaxiusShumway-e2q,"I swear, video games are doubling the amount of views on this vid.",2025-05-24T14:54:10Z
@Charlotteexx.M,Everyone here just got rick rolled!,2025-05-24T14:37:46Z
@Justabananabro,LOL,2025-05-24T14:35:39Z
@cotonetes2423,Vim pelo bistecone kkkkk,2025-05-24T14:32:51Z
@etherepicgaming,It's so matching while screen comes near like beating us then it starts😅,2025-05-24T14:32:40Z
@Lucho777,te amo,2025-05-24T14:28:55Z
@divinetie7051,fuck XD,2025-05-24T14:22:51Z
@dandan8267,"Lyrics 
We're no strangers to love
You know the rules and so do I
A full commitment's what I'm thinkin' of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it
Inside, we both know what's been going on
We know the game and we're gonna play it
And if you ask me how I'm feeling
Don't tell me you're too blind to see
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it
Inside, we both know what's been going on
We know the game and we're gonna play it
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up, never gonna let you down
Never gonna run around and desert you
Never gonna make you cry, never gonna say goodbye
Never gonna tell a lie and hurt you",2025-05-24T14:22:30Z
@SigmaKorppi666,🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡,2025-05-24T14:21:14Z
@Nexoroblox-z5d,Omg youtube,2025-05-24T13:54:46Z
@WanderingRurouni92,Depite the meme...It's legitmitely a good and easy listen.,2025-05-24T13:50:19Z
@Montanazi,Who from elmwood?,2025-05-24T13:48:56Z
@AxoTheProtogen,Came from itsparadoxofficial,2025-05-24T13:28:47Z
@Aaron-v2j3v,Before this became a meme before this a thing I was 80’s child watching this on TV and  till this day this the shi✊🏿,2025-05-24T13:27:51Z
@Quandledingle1223,He's a man of his words.,2025-05-24T13:24:47Z
@MusicDJ_Qui,Doğukan adal kitabından gelenler,2025-05-24T13:24:40Z
@deamonsbattleground7928,I Rickroll Myself Everyday Just To Listen This Masterpiece.😂,2025-05-24T13:20:47Z
@Gluskas_official,I got just rick rolled,2025-05-24T13:10:19Z
@ttriskelion,ватафак,2025-05-24T13:10:17Z
@joaquim7576,I'm the only one who came because of the game ) backrooms?),2025-05-24T13:06:10Z
@Limar7-e4x,❤🎉😂👏👏👍😎🎉💫✨️🌟🔥😉,2025-05-24T13:05:48Z
@Xle-ender,Mehrax tried to rick astley me but and ad saved me 😂,2025-05-24T13:05:39Z
@陈丽-z4n,"Those who got Rick rolled
👇🏻",2025-05-24T12:47:05Z
@jimmykray9583,Petition to ban ads from this video.,2025-05-24T12:42:44Z
@168lun,Who from Alan becker？,2025-05-24T12:29:54Z
@kamiliaabba7625,Who is here in 2025🎉,2025-05-24T12:16:16Z
@Rip_Fax1631,"Vim pelo vídeo do bistecone postado no YouTube dia 23 do 05 de 2025 no minuto 28:40 do vídeo, obrigado pela atenção",2025-05-24T12:09:17Z
@fireman194,Came here from a T-shirt QR code.  Dammit!,2025-05-24T12:01:54Z
@Divi-s2q4g,"16 days after i was born this legendry piece was publihed ..ahhh moment !

we gotta bring back rickrolling guysss its not cringe as some spolied kids say ..its a legend never out of trend . national anthem of the internet",2025-05-24T11:55:37Z
@Arian-t3f,Any one watching this in 2025 ☆☆☆,2025-05-24T11:36:14Z
@asirmustafa6660,Never gonna give you up never gonna let you down,2025-05-24T11:34:52Z
@3DArsenovic,I came from the game Garden of Banan lol,2025-05-24T11:30:43Z
@HawkFlims,Who is Here Is 2025:👇,2025-05-24T11:23:24Z
@Entityerror103,24/5/2025,2025-05-24T10:47:48Z
@ajdas003,"Everything he said he is never gonna do, is all that the voices in my head do. Accept for never Deserting me",2025-05-24T10:44:32Z
@m.l.8703,Alles klar  Her Kommissar !!,2025-05-24T10:34:21Z
@LOADING6.10,From kernelSU Next👍🏽👍🏽,2025-05-24T10:33:57Z
@Randomguy_YT1,😂,2025-05-24T10:28:44Z
@WilmoreDeSanAndres,w🎉 1:05,2025-05-24T10:00:05Z
@Tomato-2522,"I can't wait to show my kids this in the future. May this meme continue for several hundred years, and be the father of memes.",2025-05-24T09:47:26Z
