author,text,published_at
@YouTube,can confirm: he never gave us up,2025-04-22T19:05:08Z
@noketchup07,Uvb76,2025-05-24T21:10:09Z
@carrot-k7n,The greatest troll/trap of all time 😂❤,2025-05-24T21:05:30Z
@El_pro_de_gd_2012,Fui rickrolleado,2025-05-24T20:50:44Z
@lilpanchitodos,im here from the caseoh video,2025-05-24T20:44:46Z
@CharliesBrawlstars,QUEM VEIO PELO VIDEO DO BISTECONE FALA EU,2025-05-24T20:43:24Z
@kiehl_proffline,are you scanned the QR Code for this song?,2025-05-24T20:35:03Z
@izzledizzle1310,shoutout to my friends who put the qr code to this video in between photos of them on their engagement website 💍 i've never been more excited to attend a wedding in my life,2025-05-24T20:20:27Z
@Babydragon-u5l2z,Damn you lunar equinox I will have my revenge,2025-05-24T20:16:09Z
@dravlock,I left yt playing in the background and this jump scared me,2025-05-24T20:15:11Z
@sharayahstephens6957,I live the song,2025-05-24T20:10:03Z
@KARMA_YT138,👍🤠👍,2025-05-24T20:08:26Z
@josecuenca8306,Puta escaneé un qr y me trajo aquí xd,2025-05-24T19:55:09Z
@Hamyto41664,I got rickrolled by ChatGPT and Deepseek!!!!,2025-05-24T19:50:30Z
@primekiddo5151,reply if you like this,2025-05-24T19:47:28Z
@ethanphillips-d1t,"This video is blowing up right now all type of Youtubers use this
Video to troll people like the title says free Robux so you press on it and it was Rick roll",2025-05-24T19:44:03Z
@ethanphillips-d1t,Never gonna give you up let you down,2025-05-24T19:41:56Z
@SamanthaSuich,State College WX If you’re Watching This I Appreciate You Getting Rickrolled,2025-05-24T19:23:01Z
@alallashm,Who isn't watching in 2025?,2025-05-24T19:19:07Z
@Jonigame1642,Oh hi,2025-05-24T19:09:03Z
@wernersanchis2351,Wer kommt von tonverändert,2025-05-24T19:06:27Z
@juceleneventura4629,Who came via MEHRAX QR code?😅,2025-05-24T18:55:39Z
@materockk1579,One of the Best 👌 80s music 🎶,2025-05-24T18:48:59Z
@RodrigoRodrigues-c1p,Got rickrolled by Gemini AI😂😂😂,2025-05-24T18:45:45Z
@InvincibleMarkGrayson18,dude you made everyone laugh with just one link,2025-05-24T18:29:32Z
@Morgan234-j5h,Who votes  Rick Asley is the best,2025-05-24T18:16:45Z
@AiresAlmeida-y2y,Linda pombo gira,2025-05-24T18:08:12Z
@jesselong2388,How time flys,2025-05-24T18:01:03Z
@loredanarubini1839,Im from Geometry dash,2025-05-24T17:53:00Z
@Rifel82,got rickrolled by the demon list 💀💀💀,2025-05-24T17:47:45Z
@LolaPerez-g8p,I was playing a detective game… I scanned a QR code to find the location of Zoey’s last location 😢,2025-05-24T17:45:12Z
@Tigris311,Will Ferrell brought me here,2025-05-24T17:40:42Z
@karimlerbheley8553,C'est la À mdrr,2025-05-24T17:39:16Z
@BubbaDeshawn,Nahhhhh he Rick rolling me rn,2025-05-24T17:38:29Z
@GAMER-BRENK_7-1000K,Eu vim pelo bistecone 😃,2025-05-24T17:34:23Z
@SK_DGK_KOR,"I search it myself
WHY",2025-05-24T17:31:10Z
@Morgan234-j5h,I was gonna rick roll my nan,2025-05-24T17:26:27Z
@HenryYargeeIII,I came here from Coley 0:16,2025-05-24T17:18:03Z
@Hiraeth_illit,Im here again cuz A guy in aldi had a bar code on his shirt.,2025-05-24T17:13:18Z
@Valortte,i was here for porn.....,2025-05-24T17:01:35Z
@Fairyxblossomxoxox,I JUST WANTED TO FIND OUR WHAT HAPPEND RO ZOEY LEOTARD AT THE HOUSE PARTY SO I LOOKED AT THE BAR CODE..,2025-05-24T16:52:30Z
@alargeworm4670,"My family put a book together for my graduation with advice from all the important ppl in my life, and my oldest cousin put a QR code for this😭😭",2025-05-24T16:48:10Z
@SoniaManzanillq,me han rickroliando :V,2025-05-24T16:44:52Z
@donpaletto2009,I'm here just cause I actually want to listen to this song,2025-05-24T16:42:45Z
@crashoutcentralisntavailable,I just got Rick rolled in the big 2025,2025-05-24T16:42:16Z
@attackergamer17,I accidentally rick rolled myself by clicking on this video link that was sent by me only but I forgot 😅,2025-05-24T16:38:30Z
@ShinySharkyVR,Came here from Pinterest,2025-05-24T16:31:32Z
@JucemarDosSantosGomes,Bistecone😂😂😂😂😂,2025-05-24T16:18:35Z
@NXRB10,lol so this isnt the link to know how to get free robux 2025 no virus pls google.,2025-05-24T16:13:46Z
@desiviralig,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻😎😎,2025-05-24T16:00:09Z
@zatrusofnietzche2281,You listen to whacko you allow his crimes,2025-05-24T15:47:58Z
@SpartakAbrahamyan-j8i,By youtube,2025-05-24T15:44:57Z
@emjonska8971,msp wtf,2025-05-24T15:44:42Z
@MaherArd,i rickrolled you hehe ⬇⬇⬇,2025-05-24T15:37:38Z
